"";"ano";"uf";"divisao";"percentual";"vinculos"
"317";1994;"PA";24;0,300103305785124;1936
"315";1994;"PA";26;0,334379905808477;2548
"320";1994;"PA";27;0,120357442055292;3581
"314";1994;"PA";28;0,296875;960
"308";1994;"PA";29;0,362530413625304;411
"309";1994;"PA";31;0,345161290322581;310
"319";1994;"PA";34;0,518218623481781;247
"311";1994;"PA";35;0,244482173174873;589
"310";1994;"PA";36;0,617128463476071;794
"323";1994;"PB";1;0,63607433808554;15712
"344";1994;"PB";5;0,533333333333333;30
"325";1994;"PB";10;0;0
"328";1994;"PB";11;1;7
"326";1994;"PB";13;0,208563535911602;724
"327";1994;"PB";14;0,577142857142857;700
"335";1994;"PB";15;0,480747852450733;9895
"339";1994;"PB";16;0,454081632653061;196
"341";1994;"PB";17;0,571736785329018;5562
"324";1994;"PB";18;0,760769552488499;2391
"345";1994;"PB";19;0,687491948988793;7763
"336";1994;"PB";20;0,879310344827586;116
"329";1994;"PB";21;0,138424821002387;838
"330";1994;"PB";23;0,556454121306376;9645
"340";1994;"PB";24;0,480874316939891;1098
"338";1994;"PB";26;0,520867208672087;1845
"343";1994;"PB";27;0,873015873015873;126
"337";1994;"PB";28;0,774127310061602;487
"331";1994;"PB";29;0,377926421404682;299
"332";1994;"PB";31;0,726315789473684;190
"342";1994;"PB";34;0,622222222222222;45
"334";1994;"PB";35;1;1
"333";1994;"PB";36;0,83495145631068;309
"346";1994;"PE";1;0,687719389479706;76918
"367";1994;"PE";5;0,314410480349345;229
"348";1994;"PE";10;0;0
"351";1994;"PE";11;0,612903225806452;31
"349";1994;"PE";13;0,166666666666667;6
"350";1994;"PE";14;0,529108706852138;1941
"358";1994;"PE";15;0,468208144551833;111019
"362";1994;"PE";16;0,100874635568513;1715
"364";1994;"PE";17;0,302696078431373;22032
"347";1994;"PE";18;0,81087687137183;6546
"368";1994;"PE";19;0,46343779677113;3159
"359";1994;"PE";20;0,642006802721088;1176
"352";1994;"PE";21;0,174827109266943;3615
"353";1994;"PE";23;0,324972129319955;1794
"363";1994;"PE";24;0,267428689115436;9711
"361";1994;"PE";26;0,534456599856264;12523
"366";1994;"PE";27;0,1750888274773;5066
"360";1994;"PE";28;0,276615746180964;4255
"354";1994;"PE";29;0,137254901960784;2193
"355";1994;"PE";31;0,0742476566354218;4054
"365";1994;"PE";34;0,0531501166709878;3857
"357";1994;"PE";35;0,683098591549296;142
"356";1994;"PE";36;0,650763358778626;3668
"369";1994;"PI";1;0,73448275862069;2610
"390";1994;"PI";5;0,897058823529412;68
"371";1994;"PI";10;0;0
"374";1994;"PI";11;0;0
"372";1994;"PI";13;0;0
"373";1994;"PI";14;0,0792653455775737;2069
"381";1994;"PI";15;0,507876792852104;4253
"385";1994;"PI";16;0;34
"387";1994;"PI";17;0,562130177514793;1014
"370";1994;"PI";18;0,869040050858233;4719
"391";1994;"PI";19;0,583038869257951;566
"382";1994;"PI";20;0,850793650793651;315
"375";1994;"PI";21;0;4
"376";1994;"PI";23;0,575714285714286;3500
"386";1994;"PI";24;0,623739688359303;2182
"384";1994;"PI";26;0,858131487889273;2023
"389";1994;"PI";27;0,925925925925926;54
"383";1994;"PI";28;0,889075630252101;595
"377";1994;"PI";29;0,722222222222222;36
"378";1994;"PI";31;0,976744186046512;43
"388";1994;"PI";34;0,906474820143885;139
"380";1994;"PI";35;0,791666666666667;48
"379";1994;"PI";36;0,848761408083442;1534
"392";1994;"PR";1;0,587934988069784;129084
"413";1994;"PR";5;0,784810126582278;158
"394";1994;"PR";10;0,0417335473515249;623
"397";1994;"PR";11;0,0345679012345679;405
"395";1994;"PR";13;0,259911894273128;454
"396";1994;"PR";14;0,397058823529412;6936
"404";1994;"PR";15;0,275442374309522;96129
"408";1994;"PR";16;0,138136645962733;4025
"410";1994;"PR";17;0,424888085399449;23232
"393";1994;"PR";18;0,761179885091512;33766
"414";1994;"PR";19;0,452661476961919;9506
"405";1994;"PR";20;0,522795843110962;65626
"398";1994;"PR";21;0,164928949802405;23786
"399";1994;"PR";23;0,311489545160595;13917
"409";1994;"PR";24;0,201145402481705;15715
"407";1994;"PR";26;0,415065429849263;24148
"412";1994;"PR";27;0,280101563544033;7483
"406";1994;"PR";28;0,29965379494008;18775
"400";1994;"PR";29;0,127140342454793;24996
"401";1994;"PR";31;0,131386861313869;11645
"411";1994;"PR";34;0,164168165767206;15009
"403";1994;"PR";35;0,299222022740874;1671
"402";1994;"PR";36;0,584402288467329;33210
"438";1994;"RJ";1;0,636737108489171;30427
"459";1994;"RJ";5;0,47761524822695;4512
"440";1994;"RJ";10;0,702702702702703;74
"443";1994;"RJ";11;0,00282771157341951;9902
"441";1994;"RJ";13;0,0501412429378531;1416
"442";1994;"RJ";14;0,276458151971148;8041
"450";1994;"RJ";15;0,357059658188441;94438
"454";1994;"RJ";16;0,0078511195114859;3439
"456";1994;"RJ";17;0,337716772253152;31254
"439";1994;"RJ";18;0,568557040258663;69898
"460";1994;"RJ";19;0,597869049664891;11638
"451";1994;"RJ";20;0,573436921938587;5406
"444";1994;"RJ";21;0,394087591240876;13700
"445";1994;"RJ";23;0,0997432352360261;5063
"455";1994;"RJ";24;0,168515186014911;54458
"453";1994;"RJ";26;0,395465994962217;28187
"458";1994;"RJ";27;0,0580838960072306;37618
"452";1994;"RJ";28;0,166328182487123;33975
"446";1994;"RJ";29;0,103874737618426;17627
"447";1994;"RJ";31;0,0963938292227572;10177
"457";1994;"RJ";34;0,176619132501485;6732
"449";1994;"RJ";35;0,0422590681737624;25391
"448";1994;"RJ";36;0,49678420935906;18036
"415";1994;"RN";1;0,643812812133917;16219
"436";1994;"RN";5;0,591439688715953;257
"417";1994;"RN";10;0,37012012012012;1332
"420";1994;"RN";11;0,0055120394545982;3447
"418";1994;"RN";13;0,245136186770428;514
"419";1994;"RN";14;0,61615296803653;3504
"427";1994;"RN";15;0,603448275862069;16936
"431";1994;"RN";16;0;31
"433";1994;"RN";17;0,609756097560976;7749
"416";1994;"RN";18;0,801952141057935;6352
"437";1994;"RN";19;0,676923076923077;780
"428";1994;"RN";20;0,844444444444444;540
"421";1994;"RN";21;0,713414634146341;164
"422";1994;"RN";23;0,394459102902375;4548
"432";1994;"RN";24;0,706521739130435;644
"430";1994;"RN";26;0,708002883922134;2774
"435";1994;"RN";27;0,491935483870968;124
"429";1994;"RN";28;0,573770491803279;183
"423";1994;"RN";29;0,146017699115044;678
"424";1994;"RN";31;0,775784753363229;223
"434";1994;"RN";34;0,449275362318841;207
"426";1994;"RN";35;0,306122448979592;49
"425";1994;"RN";36;0,731060606060606;792
"461";1994;"RO";1;0,718466195761857;991
"482";1994;"RO";5;1;1
"463";1994;"RO";10;0;0
"466";1994;"RO";11;1;4
"464";1994;"RO";13;0,146025878003697;1082
"465";1994;"RO";14;0,442906574394464;289
"473";1994;"RO";15;0,465395095367847;3670
"477";1994;"RO";16;0;17
"479";1994;"RO";17;0,378787878787879;66
"462";1994;"RO";18;0,76171875;256
"483";1994;"RO";19;0,636363636363636;11
"474";1994;"RO";20;0,68494031221304;10890
"467";1994;"RO";21;0,85;20
"468";1994;"RO";23;1;1
"478";1994;"RO";24;0,432692307692308;104
"476";1994;"RO";26;0,679802955665025;812
"481";1994;"RO";27;0,456521739130435;46
"475";1994;"RO";28;0,744408945686901;313
"469";1994;"RO";29;0,428571428571429;77
"470";1994;"RO";31;0,857142857142857;7
"480";1994;"RO";34;0,794354838709677;248
"472";1994;"RO";35;0,833333333333333;6
"471";1994;"RO";36;0,833333333333333;456
"484";1994;"RR";1;0,535031847133758;157
"505";1994;"RR";5;0;0
"486";1994;"RR";10;0;0
"489";1994;"RR";11;0;0
"487";1994;"RR";13;0;0
"488";1994;"RR";14;0;0
"496";1994;"RR";15;0,376404494382022;534
"500";1994;"RR";16;0;4
"502";1994;"RR";17;0;0
"485";1994;"RR";18;1;10
"506";1994;"RR";19;0;0
"497";1994;"RR";20;0,835616438356164;292
"490";1994;"RR";21;0;0
"491";1994;"RR";23;0;0
"501";1994;"RR";24;0,666666666666667;3
"499";1994;"RR";26;0,466666666666667;165
"504";1994;"RR";27;1;1
"498";1994;"RR";28;0,923076923076923;26
"492";1994;"RR";29;0;0
"493";1994;"RR";31;0;0
"503";1994;"RR";34;0;1
"495";1994;"RR";35;0;0
"494";1994;"RR";36;0,642857142857143;14
"507";1994;"RS";1;0,519451652485265;99426
"528";1994;"RS";5;0,467122117847993;1171
"509";1994;"RS";10;0,0419228619340414;1789
"512";1994;"RS";11;0,5;14
"510";1994;"RS";13;0,0776595744680851;940
"511";1994;"RS";14;0,389039949801297;4781
"519";1994;"RS";15;0,23541833539649;123597
"523";1994;"RS";16;0,387689962364823;20991
