date,indicador,valor
2000-07-01,Tít. púb. fed. - TN,4207242
2000-08-01,Tít. púb. fed. - TN,7625504
2000-09-01,Tít. púb. fed. - TN,765211
2000-10-01,Tít. púb. fed. - TN,809318
2000-11-01,Tít. púb. fed. - TN,10743602
2000-12-01,Tít. púb. fed. - TN,9902645
2001-01-01,Tít. púb. fed. - TN,-8504302
2001-02-01,Tít. púb. fed. - TN,10566204
2001-03-01,Tít. púb. fed. - TN,-1100087
2001-04-01,Tít. púb. fed. - TN,9176050
2001-05-01,Tít. púb. fed. - TN,10438048
2001-06-01,Tít. púb. fed. - TN,9875011
2001-07-01,Tít. púb. fed. - TN,2612999
2001-08-01,Tít. púb. fed. - TN,10348795
2001-09-01,Tít. púb. fed. - TN,9328337
2001-10-01,Tít. púb. fed. - TN,-6291931
2001-11-01,Tít. púb. fed. - TN,650020
2001-12-01,Tít. púb. fed. - TN,2139846
2002-01-01,Tít. púb. fed. - TN,-8624368
2002-02-01,Tít. púb. fed. - TN,-2758606
2002-03-01,Tít. púb. fed. - TN,-1208727
2002-04-01,Tít. púb. fed. - TN,-9914735
2002-05-01,Tít. púb. fed. - TN,861346
2002-06-01,Tít. púb. fed. - TN,-5047934
2002-07-01,Tít. púb. fed. - TN,-16291958
2002-08-01,Tít. púb. fed. - TN,31877524
2002-09-01,Tít. púb. fed. - TN,-23042027
2002-10-01,Tít. púb. fed. - TN,17137918
2002-11-01,Tít. púb. fed. - TN,-5398544
2002-12-01,Tít. púb. fed. - TN,8136467
2003-01-01,Tít. púb. fed. - TN,-22616221
2003-02-01,Tít. púb. fed. - TN,6552374
2003-03-01,Tít. púb. fed. - TN,-1215951
2003-04-01,Tít. púb. fed. - TN,16025774
2003-05-01,Tít. púb. fed. - TN,-2393791
2003-06-01,Tít. púb. fed. - TN,-3703540
2003-07-01,Tít. púb. fed. - TN,-4405547
2003-08-01,Tít. púb. fed. - TN,-9852131
2003-09-01,Tít. púb. fed. - TN,-3786572
2003-10-01,Tít. púb. fed. - TN,3087532
2003-11-01,Tít. púb. fed. - TN,452658
2003-12-01,Tít. púb. fed. - TN,1382398
2004-01-01,Tít. púb. fed. - TN,-15070119
2004-02-01,Tít. púb. fed. - TN,5628966
2004-03-01,Tít. púb. fed. - TN,-3468991
2004-04-01,Tít. púb. fed. - TN,9081003
2004-05-01,Tít. púb. fed. - TN,5106599
2004-06-01,Tít. púb. fed. - TN,4546423
2004-07-01,Tít. púb. fed. - TN,6462275
2004-08-01,Tít. púb. fed. - TN,3314560
2004-09-01,Tít. púb. fed. - TN,2381701
2004-10-01,Tít. púb. fed. - TN,2975031
2004-11-01,Tít. púb. fed. - TN,5527107
2004-12-01,Tít. púb. fed. - TN,12382359
2005-01-01,Tít. púb. fed. - TN,-14898722
2005-02-01,Tít. púb. fed. - TN,-6944442
2005-03-01,Tít. púb. fed. - TN,-4475889
2005-04-01,Tít. púb. fed. - TN,10041661
2005-05-01,Tít. púb. fed. - TN,4802956
2005-06-01,Tít. púb. fed. - TN,-337101
2005-07-01,Tít. púb. fed. - TN,598482
2005-08-01,Tít. púb. fed. - TN,403478
2005-09-01,Tít. púb. fed. - TN,582130
2005-10-01,Tít. púb. fed. - TN,-4939247
2005-11-01,Tít. púb. fed. - TN,1897395
2005-12-01,Tít. púb. fed. - TN,9982867
2006-01-01,Tít. púb. fed. - TN,-26557302
2006-02-01,Tít. púb. fed. - TN,3432999
2006-03-01,Tít. púb. fed. - TN,-3156986
2006-04-01,Tít. púb. fed. - TN,1177954
2006-05-01,Tít. púb. fed. - TN,468584
2006-06-01,Tít. púb. fed. - TN,13278952
2006-07-01,Tít. púb. fed. - TN,-10723401
2006-08-01,Tít. púb. fed. - TN,6242001
2006-09-01,Tít. púb. fed. - TN,-3325912
2006-10-01,Tít. púb. fed. - TN,-7016877
2006-11-01,Tít. púb. fed. - TN,5396790
2006-12-01,Tít. púb. fed. - TN,13309467
2007-01-01,Tít. púb. fed. - TN,-20246251
2007-02-01,Tít. púb. fed. - TN,-19658858
2007-03-01,Tít. púb. fed. - TN,-16003938
2007-04-01,Tít. púb. fed. - TN,-6738489
2007-05-01,Tít. púb. fed. - TN,-31496004
2007-06-01,Tít. púb. fed. - TN,-10756746
2007-07-01,Tít. púb. fed. - TN,-12008781
2007-08-01,Tít. púb. fed. - TN,3256683
2007-09-01,Tít. púb. fed. - TN,8917330
2007-10-01,Tít. púb. fed. - TN,930351
2007-11-01,Tít. púb. fed. - TN,10600995
2007-12-01,Tít. púb. fed. - TN,19229181
2008-01-01,Tít. púb. fed. - TN,-26008619
2008-02-01,Tít. púb. fed. - TN,3378298
2008-03-01,Tít. púb. fed. - TN,968441
2008-04-01,Tít. púb. fed. - TN,4490928
2008-05-01,Tít. púb. fed. - TN,14928026
2008-06-01,Tít. púb. fed. - TN,-481493
2008-07-01,Tít. púb. fed. - TN,-5957344
2008-08-01,Tít. púb. fed. - TN,14553822
2008-09-01,Tít. púb. fed. - TN,14220841
2008-10-01,Tít. púb. fed. - TN,6375031
2008-11-01,Tít. púb. fed. - TN,26538560
2008-12-01,Tít. púb. fed. - TN,-18947937
2009-01-01,Tít. púb. fed. - TN,-16355087
2009-02-01,Tít. púb. fed. - TN,3527204
2009-03-01,Tít. púb. fed. - TN,3962999
2009-04-01,Tít. púb. fed. - TN,19209052
2009-05-01,Tít. púb. fed. - TN,-12857228
2009-06-01,Tít. púb. fed. - TN,-8664941
2009-07-01,Tít. púb. fed. - TN,-12591327
2009-08-01,Tít. púb. fed. - TN,3625790
2009-09-01,Tít. púb. fed. - TN,-2928502
2009-10-01,Tít. púb. fed. - TN,-5013829
2009-11-01,Tít. púb. fed. - TN,19845165
2009-12-01,Tít. púb. fed. - TN,19521306
2010-01-01,Tít. púb. fed. - TN,-18835064
2010-02-01,Tít. púb. fed. - TN,9978429
2010-03-01,Tít. púb. fed. - TN,82893299
2010-04-01,Tít. púb. fed. - TN,63585878
2010-05-01,Tít. púb. fed. - TN,5113844
2010-06-01,Tít. púb. fed. - TN,-1265680
2010-07-01,Tít. púb. fed. - TN,-1830877
2010-08-01,Tít. púb. fed. - TN,10592629
2010-09-01,Tít. púb. fed. - TN,-8958344
2010-10-01,Tít. púb. fed. - TN,-11612102
2010-11-01,Tít. púb. fed. - TN,8307611
2010-12-01,Tít. púb. fed. - TN,111543835
2011-01-01,Tít. púb. fed. - TN,-35551496
2011-02-01,Tít. púb. fed. - TN,-6037203
2011-03-01,Tít. púb. fed. - TN,-7126722
2011-04-01,Tít. púb. fed. - TN,-6175258
2011-05-01,Tít. púb. fed. - TN,11437753
2011-06-01,Tít. púb. fed. - TN,12726043
2011-07-01,Tít. púb. fed. - TN,-5442107
2011-08-01,Tít. púb. fed. - TN,13887216
2011-09-01,Tít. púb. fed. - TN,25736592
2011-10-01,Tít. púb. fed. - TN,9936256
2011-11-01,Tít. púb. fed. - TN,11895092
2011-12-01,Tít. púb. fed. - TN,44910037
2012-01-01,Tít. púb. fed. - TN,-22619990
2012-02-01,Tít. púb. fed. - TN,-16424996
2012-03-01,Tít. púb. fed. - TN,-14681172
2012-04-01,Tít. púb. fed. - TN,-16141570
2012-05-01,Tít. púb. fed. - TN,13737771
2012-06-01,Tít. púb. fed. - TN,12447356
2012-07-01,Tít. púb. fed. - TN,-5773014
2012-08-01,Tít. púb. fed. - TN,8966306
2012-09-01,Tít. púb. fed. - TN,-12864727
2012-10-01,Tít. púb. fed. - TN,-6640842
2012-11-01,Tít. púb. fed. - TN,999107
2012-12-01,Tít. púb. fed. - TN,64648943
2013-01-01,Tít. púb. fed. - TN,-21321116
2013-02-01,Tít. púb. fed. - TN,3762324
2013-03-01,Tít. púb. fed. - TN,1691768
2013-04-01,Tít. púb. fed. - TN,3550747
2013-05-01,Tít. púb. fed. - TN,11878420
2013-06-01,Tít. púb. fed. - TN,29186460
2013-07-01,Tít. púb. fed. - TN,3495406
2013-08-01,Tít. púb. fed. - TN,19767688
2013-09-01,Tít. púb. fed. - TN,24171504
2013-10-01,Tít. púb. fed. - TN,-3545904
2013-11-01,Tít. púb. fed. - TN,36034516
2013-12-01,Tít. púb. fed. - TN,89655318
2014-01-01,Tít. púb. fed. - TN,-48977190
2014-02-01,Tít. púb. fed. - TN,32241638
2014-03-01,Tít. púb. fed. - TN,7743858
2014-04-01,Tít. púb. fed. - TN,4248864
2014-05-01,Tít. púb. fed. - TN,827256
2014-06-01,Tít. púb. fed. - TN,4157663
2014-07-01,Tít. púb. fed. - TN,-15677077
2014-08-01,Tít. púb. fed. - TN,-23675510
